"date","email_type","send_size_delivered","opens","clicks","open_rate","click_rate","cto_rate","number_companies","investments_1_day","investments_7_day","volume_1_day","volume_7_day","avg_investment_1_day","x1_day_volume_sends","investments_1_day_open","month","weekday"
2023-04-13,"Weekly Newsletter",920,489,36,0.5315,0.0391,0.0736,1,2,2,750,750,"375.0",0.82,4.09,"Apr","Thu"
2023-04-13,"Other",2441,1753,386,0.7181,0.1581,0.2202,1,257,658,445702,1017896,"1734.25",182.59,146.61,"Apr","Thu"
2023-04-13,"Weekly Newsletter",918968,216177,4000,0.2352,0.0044,0.0185,33,303,1090,304232,2298509,"1004.07",0.33,1.4,"Apr","Thu"
2023-04-13,"Other",2441,1753,386,0.7181,0.1581,0.2202,1,257,658,445702,1017896,"1734.25",182.59,146.61,"Apr","Thu"
2023-04-14,"Other",20,15,6,0.75,0.3,0.4,0,0,0,0,0,"$NaN",0,0,"Apr","Fri"
2023-04-14,"250k email",23306,11322,136,0.4858,0.0058,0.012,1,0,3,0,12100,"$NaN",0,0,"Apr","Fri"
2023-04-14,"Other",4560,1011,24,0.2217,0.0053,0.0237,1,0,0,0,0,"$NaN",0,0,"Apr","Fri"
2023-04-14,"Other",7213,2145,42,0.2974,0.0058,0.0196,1,1,11,250,5000,"250.0",0.03,0.47,"Apr","Fri"
2023-04-17,"500k email",61127,21074,464,0.3448,0.0076,0.022,1,39,88,20336,79767,"521.44",0.33,1.85,"Apr","Mon"
2023-04-17,"500k email",34896,9911,197,0.284,0.0056,0.0199,1,7,17,2950,11000,"421.43",0.08,0.71,"Apr","Mon"
2023-04-18,"500k email",28124,6547,88,0.2328,0.0031,0.0134,1,5,8,1550,3850,"310.0",0.06,0.76,"Apr","Tue"
2023-04-18,"500k email",15897,5714,115,0.3594,0.0072,0.0201,1,12,30,6450,15200,"537.5",0.41,2.1,"Apr","Tue"
2023-04-18,"Other",1011,599,22,0.5925,0.0218,0.0367,0,0,0,0,0,"$NaN",0,0,"Apr","Tue"
2023-04-19,"500k email",917687,212927,3686,0.232,0.004,0.0173,1,137,162,185862,203021,"1356.66",0.2,0.64,"Apr","Wed"
2023-04-19,"500k email",93792,23878,486,0.2546,0.0052,0.0204,1,30,46,50850,63400,"1695.0",0.54,1.26,"Apr","Wed"
2023-04-19,"Other",1760,1250,351,0.7102,0.1994,0.2808,1,251,297,171061,213628,"681.52",97.19,200.8,"Apr","Wed"
2023-04-19,"500k email",9914,1755,49,0.177,0.0049,0.0279,1,2,5,1250,1850,"625.0",0.13,1.14,"Apr","Wed"
2023-04-20,"Weekly Newsletter",922592,225299,3833,0.2442,0.0042,0.017,26,214,421,226709,1452384,"1059.39",0.25,0.95,"Apr","Thu"
2023-04-20,"Other",1629,887,50,0.5445,0.0307,0.0564,0,0,0,0,0,"$NaN",0,0,"Apr","Thu"
2023-04-21,"250k email",33928,8331,104,0.2455,0.0031,0.0125,1,8,14,3800,16900,"475.0",0.11,0.96,"Apr","Fri"
2023-04-22,"Weekly Newsletter",933227,234414,3650,0.2512,0.0039,0.0156,9,102,206,73341,148399,"719.03",0.08,0.44,"Apr","Sat"
2023-04-24,"Other",1046,608,36,0.5813,0.0344,0.0592,0,0,0,0,0,"$NaN",0,0,"Apr","Mon"
2023-04-24,"250k email",33928,8417,105,0.2481,0.0031,0.0125,1,8,14,3800,16900,"475.0",0.11,0.95,"Apr","Mon"
2023-04-24,"500k email",70787,26886,299,0.3798,0.0042,0.0111,1,14,42,4650,16575,"332.14",0.07,0.52,"Apr","Mon"
2023-04-24,"500k email",18315,4876,69,0.2662,0.0038,0.0142,1,0,1,0,1000,"$NaN",0,0,"Apr","Mon"
2023-04-24,"250k email",11071,2782,37,0.2513,0.0033,0.0133,1,2,2,200,200,"100.0",0.02,0.72,"Apr","Mon"
2023-04-24,"Other",1044,673,37,0.6446,0.0354,0.055,0,0,0,0,0,"$NaN",0,0,"Apr","Mon"
2023-04-25,"250k email",35697,10046,145,0.2814,0.0041,0.0144,1,6,8,8750,10000,"1458.33",0.25,0.6,"Apr","Tue"
2023-04-25,"500k email",28756,8747,142,0.3042,0.0049,0.0162,1,9,17,7450,23050,"827.78",0.26,1.03,"Apr","Tue"
2023-04-25,"500k email",28591,9182,149,0.3212,0.0052,0.0162,1,7,15,6900,19707,"985.71",0.24,0.76,"Apr","Tue"
2023-04-25,"500k email",37623,9279,176,0.2466,0.0047,0.019,1,10,26,33600,49240,"3360.0",0.89,1.08,"Apr","Tue"
2023-04-26,"500k email",1112,450,22,0.4047,0.0198,0.0489,1,4,7,8000,26400,"2000.0",7.19,8.89,"Apr","Wed"
2023-04-26,"500k email",7989,1080,31,0.1352,0.0039,0.0287,1,5,11,3100,11660,"620.0",0.39,4.63,"Apr","Wed"
2023-04-26,"500k email",7992,1058,40,0.1324,0.005,0.0378,1,2,12,3500,10061,"1750.0",0.44,1.89,"Apr","Wed"
2023-04-26,"250k email",13081,1920,40,0.1468,0.0031,0.0208,1,2,2,10250,10250,"5125.0",0.78,1.04,"Apr","Wed"
2023-04-26,"Other",1052,618,29,0.5875,0.0276,0.0469,0,0,0,0,0,"$NaN",0,0,"Apr","Wed"
2023-04-26,"Other",2858,1155,36,0.4041,0.0126,0.0312,0,0,0,0,0,"$NaN",0,0,"Apr","Wed"
2023-04-27,"Weekly Newsletter",972,551,36,0.5669,0.037,0.0653,0,0,0,0,0,"$NaN",0,0,"Apr","Thu"
2023-04-27,"Weekly Newsletter",1000265,233372,4069,0.2333,0.0041,0.0174,19,137,355,156872,387348,"1145.05",0.16,0.59,"Apr","Thu"
2023-04-27,"Other",1259,793,93,0.6299,0.0739,0.1173,1,48,51,50172,51172,"1045.25",39.85,60.53,"Apr","Thu"
2023-04-28,"Weekly Newsletter",1000265,233373,4069,0.2333,0.0041,0.0174,19,137,355,156872,387348,"1145.05",0.16,0.59,"Apr","Fri"
2023-04-28,"250k email",8451,1152,43,0.1363,0.0051,0.0373,1,5,7,39700,40100,"7940.0",4.7,4.34,"Apr","Fri"
2023-04-28,"250k email",8451,1152,43,0.1363,0.0051,0.0373,1,5,7,39700,40100,"7940.0",4.7,4.34,"Apr","Fri"
2023-05-01,"250k email",58748,17380,273,0.2958,0.0046,0.0157,1,9,9,8550,8550,"950.0",0.15,0.52,"May","Mon"
2023-05-01,"500k email",44230,8144,119,0.1841,0.0027,0.0146,1,7,7,3500,3500,"500.0",0.08,0.86,"May","Mon"
2023-05-01,"250k email",10506,2666,38,0.2538,0.0036,0.0143,1,1,1,250,250,"250.0",0.02,0.38,"May","Mon"
